1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
1,2
2,2
3,2
4,2
5,2
6,2
7,7
8,7
9,7
10,7
11,7
12,7
13,11
14,11
15,11
16,11
17,11
18,11
1,3
2,3
3,3
4,8
5,8
6,8
7,3
8,3
9,3
10,8
11,8
12,8
13,3
14,3
15,3
16,8
17,8
18,8
1,4
2,4
3,9
4,4
5,4
6,9
7,4
8,4
9,9
10,4
11,4
12,9
13,4
14,4
15,9
16,4
17,4
18,9
1,5
2,10
4,5
5,10
7,5
8,10
10,5
11,10
13,5
14,10
16,5
17,10
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
19,2
20,2
21,2
22,2
23,2
24,2
25,7
26,7
27,7
28,7
29,7
30,7
31,11
32,11
33,11
34,11
35,11
36,11
19,3
20,3
21,3
22,8
23,8
24,8
25,3
26,3
27,3
28,8
29,8
30,8
31,3
32,3
33,3
34,8
35,8
36,8
19,4
20,4
21,9
22,4
23,4
24,9
25,4
26,4
27,9
28,4
29,4
30,9
31,4
32,4
33,9
34,4
35,4
36,9
19,5
20,10
22,5
23,10
25,5
26,10
28,5
29,10
31,5
32,10
34,5
35,10
